user_id,article_id,ratings
11814474,3972463,1
7763690,4073376,5
1329786,4073376,1
7763690,3936046,3
1329786,3936196,1
7763690,3936196,2
7763690,3801154,1
7763690,3936195,1
7763690,3811215,1
7763690,3852478,1
7763690,3804365,1
7763690,3819723,1
7763690,3812777,1
7763690,3935745,1
7763690,3923749,1
7763690,3935983,2
7763690,3846322,1
11814524,3935989,1
7763690,3830289,1
7763690,3832917,1
7763690,3816746,1
7763690,3829089,1
7763690,3806241,1
7763690,3851720,1
7763690,3820664,1
11814494,3948523,2
11814494,3957008,2
1329859,3818895,1
11814527,3815552,1
11814527,3934745,1
11814527,3934727,1
11814527,3934472,1
11814527,0,10
11814527,3935639,1
11814528,3922169,1
11814527,4073376,1
11814527,3823200,1
11814527,3823733,1
11814489,3863360,1
11814405,3935985,1
11814405,4073376,4
11814459,4078218,5
11814438,4078119,4
11814459,4077312,5
11814438,4077950,3
11814438,4077540,3
11814438,0,12
11814438,4080978,3
11814438,4081030,1
11814438,4081037,3
11814438,4075123,3
11814459,206,1
11814438,4047061,1
11814438,206,4
11814459,4077055,5
11814438,4077055,6
11814459,4078254,5
11814438,4078254,9
11814459,4078169,1
11814438,4078169,13
11814460,4077029,3
11814438,4017898,1
11814529,4065308,3
11814529,4078409,8
11814529,4074266,5
11814529,4081033,5
11814529,4078192,5
11814529,4072693,1
11814438,4072722,1
11814438,4065308,1
11814474,3966873,1
11814474,3966007,1
11814474,3986074,1
11814474,3995148,1
11814529,0,29
11814529,4081032,4
8604425,4073376,3
11814405,3935980,1
11814531,4078408,1
11814531,4078350,2
11814531,4078387,1
4747296,3995545,2
11814438,4078413,1
11814529,4081037,1
3625021,4073376,1
11814529,4080375,1
11814529,4080378,11
11814533,4078155,1
4747296,3995546,2
11814438,4077931,4
11814529,4077931,3
11814438,4037104,6
11814529,4037104,5
4747296,3995547,1
4747296,4078413,2
8604425,3935985,1
4747296,4078410,1
8604425,3935982,1
11814480,3967258,1
11814480,3968101,1
11814480,3968131,1
11814529,4078093,9
11814529,4077326,4
11814480,3966425,1
11814480,3968606,1
11814480,3969963,1
4747296,2269884,5
4747296,4077982,1
4747296,3966903,1
8604425,3830671,1
4747296,3980424,1
11814405,4064100,3
11814438,4058230,7
11814529,4053057,1
11814438,4057256,1
11814529,4063378,1
11814521,4078413,2
8604425,3878555,1
11814438,4077977,4
8604425,3904660,1
11814521,214,2
4747296,3938716,2
11814521,4077317,1
11814521,213,1
11814529,4076494,1
11814460,0,1
11814536,0,1
7763690,3823095,1
4747296,4078489,3
11814536,4066424,1
11814438,25467193,1
11814405,4065370,1
7763690,4065370,1
11814438,4075026,5
11814538,4077051,3
11814538,4080217,1
11814538,3995545,1
11814518,4030894,2
11814459,214,1
11814459,213,1
11814438,214,3
11814438,213,2
11814459,4074490,1
11814537,4080697,1
11814537,3995545,1
11814405,3940490,1
11814405,3923963,1
11814495,3996181,1
11814438,4078412,3
11814438,4078213,1
11814459,4078419,1
11814531,4049797,2
11814529,214,2
11814529,213,1
1538787,4062410,1
1538787,4014727,1
1538787,3881203,1
11814405,4067070,1
1538787,3985608,1
11814474,3966736,2
11814474,3968913,2
8604425,3936046,1
10300569,4073376,1
10300569,3935989,1
11814459,4078093,1
11814438,4078093,8
7583652,4073376,1
7583652,4061463,1
9610221,3936046,1
9610221,3935980,1
7583652,4057371,1
7583652,3987394,37
11814459,4078236,5
11814521,4078119,1
11814459,4075674,1
11814438,4073771,5
11814438,99,5
11814529,25467189,4
11814438,4078489,1
11814529,25467194,2
10300569,3936046,1
10300569,3933814,1
9172964,4069207,1
11814531,4078409,2
11814405,3935981,1
11814529,4078411,3
11814438,4078419,3
11814405,3923749,1
11814531,4066424,1
11814531,4074956,2
11814531,4074955,2
11814531,4074957,1
11814531,4074514,1
11814529,3940325,1
11814529,4078410,1
11814529,4078218,4
11814529,4078119,1
11814529,4077974,1
11814438,4078411,1
11814438,4078387,1
11814529,4077908,1
11814438,4078188,4
11814438,4078155,1
11814529,4072105,1
11814529,4052811,1
11814438,4072105,1
11814438,4052811,244
5213483,214,1
5213483,213,1
11814405,0,17
11814531,214,2
11814531,213,2
9172964,4078419,1
9172964,4078408,2
9172964,4078387,1
9172964,4078350,1
9172964,4078287,1
9172964,4078260,1
9172964,4078229,1
9172964,4078221,1
9172964,4078213,5
9172964,4078159,1
9172964,4078218,1
1538787,4064100,1
11814492,3935958,1
11814492,3935520,1
11814492,3934600,1
